Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
880000,0,118,3,4,3,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.558443,-46.593451
526000,0,70,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.580576,-46.586502
660000,720,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563142,-46.584295
385000,530,64,2,2,1,1,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.557841,-46.591533
522900,650,83,3,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.60377
340000,452,65,3,2,1,1,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550464,-46.604648
600000,882,82,2,2,1,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.557555,-46.606281
441000,0,70,2,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.559841,-46.604037
390000,553,31,1,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.618622,-46.685512
830000,821,82,3,3,1,1,0,1,0,0,Brooklin/São Paulo,sale,apartment,-23.616463,-46.680541
420000,1200,54,2,2,1,1,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.603693,-46.694742
1737000,600,158,4,6,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.615268,-46.685278
780000,1300,110,3,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.61321,-46.681417
790000,750,105,2,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.616043,-46.68276
550000,0,100,1,2,1,1,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.610462,-46.684729
950000,0,113,3,2,1,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.612659,-46.678737
785000,550,67,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.618385,-46.684776
570140,0,54,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.623669,-46.688265
1470000,900,130,3,5,3,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.619816,-46.695689
2050000,0,169,3,4,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.626047,-46.685233
1690000,1365,167,3,5,3,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624065,-46.685122
760000,770,74,2,2,1,1,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.617511,-46.694794
555000,0,67,2,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624665,-46.688734
688000,800,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.611935,-46.680022
690000,800,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.610342,-46.681432
1250000,950,125,3,4,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.62446,-46.68547
950000,770,70,2,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.62339,-46.694729
